colour	x	xend	y	yend	tooltip	showSelected	showSelected2
#8B475D	0.488433957899607	0.488433957899607	0.0809090909090909	0.0454545454545455	Dunfield	Chr01	Dunfield
#9AC0CD	0.496144652633202	0.496144652633202	0.0806060606060606	0.0454545454545455	Capital	Chr01	Capital
#EEB4B4	0.503855347366798	0.503855347366798	0.08	0.0454545454545455	Forrest	Chr01	Forrest
#CD96CD	0.511566042100393	0.511566042100393	0.0796969696969697	0.0454545454545455	Hill	Chr01	Hill
#CD3333	0.519276736833989	0.519276736833989	0.0796969696969697	0.0454545454545455	Hutcheson	Chr01	Hutcheson
#B22222	0.526987431567584	0.526987431567584	0.0787878787878788	0.0454545454545455	Jackson	Chr01	Jackson
#00BFFF	0.53469812630118	0.53469812630118	0.0778787878787879	0.0454545454545455	Amsoy	Chr01	Amsoy
#EE8262	0.542408821034775	0.542408821034775	0.0775757575757576	0.0454545454545455	4J105-3-4	Chr01	4J105-3-4
#CD1076	0.550119515768371	0.550119515768371	0.0772727272727273	0.0454545454545455	Braxton	Chr01	Braxton
#EE9A49	0.557830210501966	0.557830210501966	0.0772727272727273	0.0454545454545455	Cook	Chr01	Cook
#8FBC8F	0.565540905235562	0.565540905235562	0.0772727272727273	0.0454545454545455	Perry	Chr01	Perry
#B23AEE	0.573251599969157	0.573251599969157	0.076969696969697	0.0454545454545455	IA3023	Chr01	IA3023
#CD6600	0.580962294702753	0.580962294702753	0.076969696969697	0.0454545454545455	Pickett	Chr01	Pickett
#698B22	0.588672989436348	0.588672989436348	0.0763636363636364	0.0454545454545455	Lincoln	Chr01	Lincoln
#5D478B	0.596383684169944	0.596383684169944	0.0754545454545455	0.0454545454545455	Bragg	Chr01	Bragg
#CD69C9	0.604094378903539	0.604094378903539	0.0754545454545455	0.0454545454545455	Centennial	Chr01	Centennial
#CD6090	0.611805073637135	0.611805073637135	0.0751515151515151	0.0454545454545455	Gasoy 17	Chr01	Gasoy 17
#4876FF	0.61951576837073	0.61951576837073	0.0751515151515151	0.0454545454545455	Harcor	Chr01	Harcor
#8B4789	0.627226463104326	0.627226463104326	0.0748484848484848	0.0454545454545455	S-100	Chr01	S-100
#54FF9F	0.634937157837921	0.634937157837921	0.0748484848484848	0.0454545454545455	Tracy	Chr01	Tracy
#00CD66	0.642647852571517	0.642647852571517	0.0745454545454545	0.0454545454545455	5601T	Chr01	5601T
#CD853F	0.650358547305112	0.650358547305112	0.0745454545454545	0.0454545454545455	Amcor	Chr01	Amcor
#FF7F00	0.658069242038708	0.658069242038708	0.0739393939393939	0.0454545454545455	Hood	Chr01	Hood
#EE1289	0.665779936772303	0.665779936772303	0.0736363636363636	0.0454545454545455	Holladay	Chr01	Holladay
#00FFFF	0.673490631505899	0.673490631505899	0.0736363636363636	0.0454545454545455	S06-130640-2	Chr01	S06-130640-2
#9ACD32	0.681201326239494	0.681201326239494	0.0733333333333333	0.0454545454545455	Beeson	Chr01	Beeson
#D2691E	0.68891202097309	0.68891202097309	0.0733333333333333	0.0454545454545455	Richland	Chr01	Richland
#607B8B	0.696622715706685	0.696622715706685	0.073030303030303	0.0454545454545455	CNS	Chr01	CNS
#836FFF	0.704333410440281	0.704333410440281	0.073030303030303	0.0454545454545455	LG03-3191	Chr01	LG03-3191
#6E8B3D	0.712044105173876	0.712044105173876	0.0718181818181818	0.0454545454545455	Williams	Chr01	Williams
#8DB6CD	0.719754799907472	0.719754799907472	0.0712121212121212	0.0454545454545455	Dillon	Chr01	Dillon
#E9967A	0.727465494641067	0.727465494641067	0.0709090909090909	0.0454545454545455	Calland	Chr01	Calland
#63B8FF	0.735176189374663	0.735176189374663	0.0706060606060606	0.0454545454545455	NC Roy	Chr01	NC Roy
#FFA07A	0.742886884108258	0.742886884108258	0.0706060606060606	0.0454545454545455	Wayne	Chr01	Wayne
#CD919E	0.750597578841854	0.750597578841854	0.0706060606060606	0.0454545454545455	Williams 82	Chr01	Williams 82
#4682B4	0.758308273575449	0.758308273575449	0.0703030303030303	0.0454545454545455	Pella	Chr01	Pella
#8B0A50	0.766018968309045	0.766018968309045	0.07	0.0454545454545455	York	Chr01	York
#2E8B57	0.77372966304264	0.77372966304264	0.0696969696969697	0.0454545454545455	Blackhawk	Chr01	Blackhawk
#CD2990	0.781440357776236	0.781440357776236	0.0696969696969697	0.0454545454545455	NC Raleigh	Chr01	NC Raleigh
#76EEC6	0.789151052509831	0.789151052509831	0.0693939393939394	0.0454545454545455	Adams	Chr01	Adams
#1E90FF	0.796861747243427	0.796861747243427	0.0693939393939394	0.0454545454545455	Cumberland	Chr01	Cumberland
#CDC1C5	0.804572441977022	0.804572441977022	0.0693939393939394	0.0454545454545455	Kent	Chr01	Kent
#8A2BE2	0.812283136710618	0.812283136710618	0.0687878787878788	0.0454545454545455	Corsoy	Chr01	Corsoy
#AB82FF	0.819993831444213	0.819993831444213	0.0687878787878788	0.0454545454545455	Oakland	Chr01	Oakland
#FF0000	0.827704526177809	0.827704526177809	0.0687878787878788	0.0454545454545455	Woodworth	Chr01	Woodworth
#4F94CD	0.835415220911404	0.835415220911404	0.0687878787878788	0.0454545454545455	Zane	Chr01	Zane
#00F5FF	0.843125915645	0.843125915645	0.0684848484848485	0.0454545454545455	Davis	Chr01	Davis
#FF6EB4	0.850836610378595	0.850836610378595	0.0684848484848485	0.0454545454545455	Shelby	Chr01	Shelby
#EE7AE9	0.858547305112191	0.858547305112191	0.0681818181818182	0.0454545454545455	Anderson	Chr01	Anderson
#87CEFA	0.866257999845786	0.866257999845786	0.0681818181818182	0.0454545454545455	Brim	Chr01	Brim
#A2B5CD	0.873968694579382	0.873968694579382	0.0681818181818182	0.0454545454545455	Chippewa	Chr01	Chippewa
#66CDAA	0.881679389312977	0.881679389312977	0.0675757575757576	0.0454545454545455	A3127	Chr01	A3127
#CAFF70	0.889390084046573	0.889390084046573	0.0675757575757576	0.0454545454545455	Mukden	Chr01	Mukden
#7A67EE	0.897100778780168	0.897100778780168	0.066969696969697	0.0454545454545455	Ogden	Chr01	Ogden
#CD5B45	0.904811473513764	0.904811473513764	0.066969696969697	0.0454545454545455	Ransom	Chr01	Ransom
#00FF7F	0.912522168247359	0.912522168247359	0.0645454545454545	0.0454545454545455	Clark	Chr01	Clark
#00EEEE	0.920232862980955	0.920232862980955	0.0645454545454545	0.0454545454545455	Volstate	Chr01	Volstate
#6B8E23	0.92794355771455	0.92794355771455	0.0642424242424242	0.0454545454545455	Merit	Chr01	Merit
#7D26CD	0.935654252448146	0.935654252448146	0.0642424242424242	0.0454545454545455	Roanoke	Chr01	Roanoke
#9932CC	0.943364947181741	0.943364947181741	0.0627272727272727	0.0454545454545455	Young	Chr01	Young
#8B5A00	0.951075641915337	0.951075641915337	0.056969696969697	0.0454545454545455	Mandarin	Chr01	Mandarin
#C71585	0.0489243580846634	0.0489243580846634	0.592727272727273	0.0454545454545455	Magellan	Chr02	Magellan
#CD8500	0.0566350528182589	0.0566350528182589	0.479090909090909	0.0454545454545455	LD02-9050	Chr02	LD02-9050
#FFA54F	0.0643457475518544	0.0643457475518544	0.453636363636364	0.0454545454545455	S06-13640	Chr02	S06-13640
#00E5EE	0.0720564422854499	0.0720564422854499	0.384848484848485	0.0454545454545455	Maverick	Chr02	Maverick
#EE3B3B	0.0797671370190454	0.0797671370190454	0.323030303030303	0.0454545454545455	LG97-7012	Chr02	LG97-7012
#00868B	0.0874778317526409	0.0874778317526409	0.283636363636364	0.0454545454545455	LG98-1605	Chr02	LG98-1605
#20B2AA	0.0951885264862364	0.0951885264862364	0.250606060606061	0.0454545454545455	Skylla	Chr02	Skylla
#CD00CD	0.102899221219832	0.102899221219832	0.231818181818182	0.0454545454545455	LG94-1128	Chr02	LG94-1128
#668B8B	0.110609915953427	0.110609915953427	0.228181818181818	0.0454545454545455	LD01-5907	Chr02	LD01-5907
#B3EE3A	0.118320610687023	0.118320610687023	0.225757575757576	0.0454545454545455	LG90-2550	Chr02	LG90-2550
#00FF00	0.126031305420618	0.126031305420618	0.221515151515152	0.0454545454545455	NE3001	Chr02	NE3001
#6CA6CD	0.133742000154214	0.133742000154214	0.192727272727273	0.0454545454545455	LG04-6000	Chr02	LG04-6000
#DEB887	0.141452694887809	0.141452694887809	0.17969696969697	0.0454545454545455	LG00-3372	Chr02	LG00-3372
#556B2F	0.149163389621405	0.149163389621405	0.179090909090909	0.0454545454545455	LD02-4485	Chr02	LD02-4485
#EE00EE	0.156874084355	0.156874084355	0.161818181818182	0.0454545454545455	LG94-1906	Chr02	LG94-1906
#DB7093	0.164584779088596	0.164584779088596	0.142424242424242	0.0454545454545455	Lee	Chr02	Lee
#8B2252	0.172295473822191	0.172295473822191	0.140606060606061	0.0454545454545455	CL0J173-6-8	Chr02	CL0J173-6-8
#EE9572	0.180006168555787	0.180006168555787	0.132424242424242	0.0454545454545455	Ford	Chr02	Ford
#EEC591	0.187716863289382	0.187716863289382	0.116060606060606	0.0454545454545455	PI574486	Chr02	PI574486
#9B30FF	0.195427558022978	0.195427558022978	0.114545454545455	0.0454545454545455	LG05-4317	Chr02	LG05-4317
#BF3EFF	0.203138252756573	0.203138252756573	0.113939393939394	0.0454545454545455	PI507681B	Chr02	PI507681B
#00688B	0.210848947490169	0.210848947490169	0.111818181818182	0.0454545454545455	Essex	Chr02	Essex
#36648B	0.218559642223764	0.218559642223764	0.111212121212121	0.0454545454545455	Harosoy	Chr02	Harosoy
#48D1CC	0.22627033695736	0.22627033695736	0.110909090909091	0.0454545454545455	LG05-4464	Chr02	LG05-4464
#F4A460	0.233981031690955	0.233981031690955	0.107878787878788	0.0454545454545455	Lawrence	Chr02	Lawrence
#96CDCD	0.241691726424551	0.241691726424551	0.107575757575758	0.0454545454545455	PI398881	Chr02	PI398881
#6495ED	0.249402421158146	0.249402421158146	0.103939393939394	0.0454545454545455	LG05-4832	Chr02	LG05-4832
#A0522D	0.257113115891742	0.257113115891742	0.103939393939394	0.0454545454545455	PI404188A	Chr02	PI404188A
#9A32CD	0.264823810625337	0.264823810625337	0.103636363636364	0.0454545454545455	Hagood	Chr02	Hagood
#FF7F24	0.272534505358933	0.272534505358933	0.103333333333333	0.0454545454545455	Prohio	Chr02	Prohio
#00CDCD	0.280245200092528	0.280245200092528	0.102727272727273	0.0454545454545455	HS6-3976	Chr02	HS6-3976
#EE799F	0.287955894826124	0.287955894826124	0.101818181818182	0.0454545454545455	5M20-2-5-2	Chr02	5M20-2-5-2
#CD7054	0.295666589559719	0.295666589559719	0.101212121212121	0.0454545454545455	LG92-1255	Chr02	LG92-1255
#CD6839	0.303377284293315	0.303377284293315	0.10030303030303	0.0454545454545455	LG04-4717	Chr02	LG04-4717
#E066FF	0.31108797902691	0.31108797902691	0.0993939393939394	0.0454545454545455	TN05-3027	Chr02	TN05-3027
#FF4500	0.318798673760506	0.318798673760506	0.0990909090909091	0.0454545454545455	LG05-4292	Chr02	LG05-4292
#EEA2AD	0.326509368494101	0.326509368494101	0.0987878787878788	0.0454545454545455	PI561370	Chr02	PI561370
#FF3E96	0.334220063227697	0.334220063227697	0.0972727272727273	0.0454545454545455	CL0J095-4-6	Chr02	CL0J095-4-6
#A020F0	0.341930757961292	0.341930757961292	0.0951515151515152	0.0454545454545455	PI518751	Chr02	PI518751
#FA8072	0.349641452694888	0.349641452694888	0.0945454545454545	0.0454545454545455	LD00-3309	Chr02	LD00-3309
#CD3700	0.357352147428483	0.357352147428483	0.0945454545454545	0.0454545454545455	PI437169B	Chr02	PI437169B
#483D8B	0.365062842162079	0.365062842162079	0.093030303030303	0.0454545454545455	LG03-2979	Chr02	LG03-2979
#8B475D	0.372773536895674	0.372773536895674	0.0921212121212121	0.0454545454545455	Dunfield	Chr02	Dunfield
#FF6A6A	0.38048423162927	0.38048423162927	0.0896969696969697	0.0454545454545455	Clemson	Chr02	Clemson
#63B8FF	0.388194926362865	0.388194926362865	0.086969696969697	0.0454545454545455	NC Roy	Chr02	NC Roy
#CD96CD	0.395905621096461	0.395905621096461	0.0866666666666667	0.0454545454545455	Hill	Chr02	Hill
#9AC0CD	0.403616315830056	0.403616315830056	0.0857575757575758	0.0454545454545455	Capital	Chr02	Capital
#EEB4B4	0.411327010563652	0.411327010563652	0.0848484848484849	0.0454545454545455	Forrest	Chr02	Forrest
#8FBC8F	0.419037705297247	0.419037705297247	0.0845454545454545	0.0454545454545455	Perry	Chr02	Perry
#BCEE68	0.426748400030843	0.426748400030843	0.0845454545454545	0.0454545454545455	PI427136	Chr02	PI427136
#7A67EE	0.434459094764438	0.434459094764438	0.0836363636363636	0.0454545454545455	Ogden	Chr02	Ogden
#FFA500	0.442169789498034	0.442169789498034	0.0836363636363636	0.0454545454545455	U03-100612	Chr02	U03-100612
#EE8262	0.449880484231629	0.449880484231629	0.0824242424242424	0.0454545454545455	4J105-3-4	Chr02	4J105-3-4
#87CEFA	0.457591178965225	0.457591178965225	0.0821212121212121	0.0454545454545455	Brim	Chr02	Brim
#EE3A8C	0.46530187369882	0.46530187369882	0.0821212121212121	0.0454545454545455	Hawkeye	Chr02	Hawkeye
#54FF9F	0.473012568432416	0.473012568432416	0.0821212121212121	0.0454545454545455	Tracy	Chr02	Tracy
#3A5FCD	0.480723263166011	0.480723263166011	0.0809090909090909	0.0454545454545455	Bonus	Chr02	Bonus
#4876FF	0.488433957899607	0.488433957899607	0.0803030303030303	0.0454545454545455	Harcor	Chr02	Harcor
#D2691E	0.496144652633202	0.496144652633202	0.0803030303030303	0.0454545454545455	Richland	Chr02	Richland
#CD6090	0.503855347366798	0.503855347366798	0.0796969696969697	0.0454545454545455	Gasoy 17	Chr02	Gasoy 17
#CD5555	0.511566042100393	0.511566042100393	0.0793939393939394	0.0454545454545455	Kanro	Chr02	Kanro
#CAFF70	0.519276736833989	0.519276736833989	0.0787878787878788	0.0454545454545455	Mukden	Chr02	Mukden
#CD1076	0.526987431567584	0.526987431567584	0.0784848484848485	0.0454545454545455	Braxton	Chr02	Braxton
#698B69	0.53469812630118	0.53469812630118	0.0775757575757576	0.0454545454545455	Tokyo	Chr02	Tokyo
#00F5FF	0.542408821034775	0.542408821034775	0.076969696969697	0.0454545454545455	Davis	Chr02	Davis
#4169E1	0.550119515768371	0.550119515768371	0.0766666666666667	0.0454545454545455	Ralsoy	Chr02	Ralsoy
#9932CC	0.557830210501966	0.557830210501966	0.0763636363636364	0.0454545454545455	Young	Chr02	Young
#B22222	0.565540905235562	0.565540905235562	0.0760606060606061	0.0454545454545455	Jackson	Chr02	Jackson
#EE9A49	0.573251599969157	0.573251599969157	0.0757575757575758	0.0454545454545455	Cook	Chr02	Cook
#A2B5CD	0.580962294702753	0.580962294702753	0.0754545454545455	0.0454545454545455	Chippewa	Chr02	Chippewa
#CD6600	0.588672989436348	0.588672989436348	0.0751515151515151	0.0454545454545455	Pickett	Chr02	Pickett
#8B4789	0.596383684169944	0.596383684169944	0.0751515151515151	0.0454545454545455	S-100	Chr02	S-100
#8A2BE2	0.604094378903539	0.604094378903539	0.0748484848484848	0.0454545454545455	Corsoy	Chr02	Corsoy
#607B8B	0.611805073637135	0.611805073637135	0.0745454545454545	0.0454545454545455	CNS	Chr02	CNS
#EE1289	0.61951576837073	0.61951576837073	0.0745454545454545	0.0454545454545455	Holladay	Chr02	Holladay
#698B22	0.627226463104326	0.627226463104326	0.0736363636363636	0.0454545454545455	Lincoln	Chr02	Lincoln
#A2CD5A	0.634937157837921	0.634937157837921	0.0736363636363636	0.0454545454545455	PI 88.788	Chr02	PI 88.788
#00BFFF	0.642647852571517	0.642647852571517	0.0733333333333333	0.0454545454545455	Amsoy	Chr02	Amsoy
#0000FF	0.650358547305112	0.650358547305112	0.0733333333333333	0.0454545454545455	Dorman	Chr02	Dorman
#00FFFF	0.658069242038708	0.658069242038708	0.0733333333333333	0.0454545454545455	S06-130640-2	Chr02	S06-130640-2
#CD2990	0.665779936772303	0.665779936772303	0.073030303030303	0.0454545454545455	NC Raleigh	Chr02	NC Raleigh
#CD5B45	0.673490631505899	0.673490631505899	0.0727272727272727	0.0454545454545455	Ransom	Chr02	Ransom
#9ACD32	0.681201326239494	0.681201326239494	0.0721212121212121	0.0454545454545455	Beeson	Chr02	Beeson
#5D478B	0.68891202097309	0.68891202097309	0.0721212121212121	0.0454545454545455	Bragg	Chr02	Bragg
#7D26CD	0.696622715706685	0.696622715706685	0.0721212121212121	0.0454545454545455	Roanoke	Chr02	Roanoke
#8B0A50	0.704333410440281	0.704333410440281	0.0721212121212121	0.0454545454545455	York	Chr02	York
#CD853F	0.712044105173876	0.712044105173876	0.0718181818181818	0.0454545454545455	Amcor	Chr02	Amcor
#FF7F00	0.719754799907472	0.719754799907472	0.0715151515151515	0.0454545454545455	Hood	Chr02	Hood
#B23AEE	0.727465494641067	0.727465494641067	0.0715151515151515	0.0454545454545455	IA3023	Chr02	IA3023
#8DB6CD	0.735176189374663	0.735176189374663	0.0712121212121212	0.0454545454545455	Dillon	Chr02	Dillon
#CD3333	0.742886884108258	0.742886884108258	0.0709090909090909	0.0454545454545455	Hutcheson	Chr02	Hutcheson
#CDC1C5	0.750597578841854	0.750597578841854	0.0709090909090909	0.0454545454545455	Kent	Chr02	Kent
#6B8E23	0.758308273575449	0.758308273575449	0.0709090909090909	0.0454545454545455	Merit	Chr02	Merit
#43CD80	0.766018968309045	0.766018968309045	0.07	0.0454545454545455	Illini	Chr02	Illini
#836FFF	0.77372966304264	0.77372966304264	0.07	0.0454545454545455	LG03-3191	Chr02	LG03-3191
#D2B48C	0.781440357776236	0.781440357776236	0.0693939393939394	0.0454545454545455	Haberlandt	Chr02	Haberlandt
#00EEEE	0.789151052509831	0.789151052509831	0.0693939393939394	0.0454545454545455	Volstate	Chr02	Volstate
#EE7AE9	0.796861747243427	0.796861747243427	0.0690909090909091	0.0454545454545455	Anderson	Chr02	Anderson
#458B74	0.804572441977022	0.804572441977022	0.0687878787878788	0.0454545454545455	Douglas	Chr02	Douglas
#E9967A	0.812283136710618	0.812283136710618	0.0678787878787879	0.0454545454545455	Calland	Chr02	Calland
#EE30A7	0.819993831444213	0.819993831444213	0.0675757575757576	0.0454545454545455	A.K. (Harrow)	Chr02	A.K. (Harrow)
#551A8B	0.827704526177809	0.827704526177809	0.0675757575757576	0.0454545454545455	PI 180.501	Chr02	PI 180.501
#66CDAA	0.835415220911404	0.835415220911404	0.066969696969697	0.0454545454545455	A3127	Chr02	A3127
#2E8B57	0.843125915645	0.843125915645	0.066969696969697	0.0454545454545455	Blackhawk	Chr02	Blackhawk
#76EEC6	0.850836610378595	0.850836610378595	0.0645454545454545	0.0454545454545455	Adams	Chr02	Adams
#FF6EB4	0.858547305112191	0.858547305112191	0.063030303030303	0.0454545454545455	Shelby	Chr02	Shelby
#CD69C9	0.866257999845786	0.866257999845786	0.0627272727272727	0.0454545454545455	Centennial	Chr02	Centennial
#8B5A00	0.873968694579382	0.873968694579382	0.0606060606060606	0.0454545454545455	Mandarin	Chr02	Mandarin
#4F94CD	0.881679389312977	0.881679389312977	0.0581818181818182	0.0454545454545455	Zane	Chr02	Zane
#00FF7F	0.889390084046573	0.889390084046573	0.056969696969697	0.0454545454545455	Clark	Chr02	Clark
#AB82FF	0.897100778780168	0.897100778780168	0.056969696969697	0.0454545454545455	Oakland	Chr02	Oakland
#4682B4	0.904811473513764	0.904811473513764	0.0560606060606061	0.0454545454545455	Pella	Chr02	Pella
#00CD66	0.912522168247359	0.912522168247359	0.0554545454545455	0.0454545454545455	5601T	Chr02	5601T
#CD919E	0.920232862980955	0.920232862980955	0.0551515151515152	0.0454545454545455	Williams 82	Chr02	Williams 82
#6E8B3D	0.92794355771455	0.92794355771455	0.0548484848484848	0.0454545454545455	Williams	Chr02	Williams
#FF0000	0.935654252448146	0.935654252448146	0.0542424242424242	0.0454545454545455	Woodworth	Chr02	Woodworth
#1E90FF	0.943364947181741	0.943364947181741	0.0539393939393939	0.0454545454545455	Cumberland	Chr02	Cumberland
#FFA07A	0.951075641915337	0.951075641915337	0.0518181818181818	0.0454545454545455	Wayne	Chr02	Wayne
#C71585	0.0489243580846634	0.0489243580846634	0.598181818181818	0.0454545454545455	Magellan	Chr03	Magellan
#FFA54F	0.0566350528182589	0.0566350528182589	0.513939393939394	0.0454545454545455	S06-13640	Chr03	S06-13640
#CD8500	0.0643457475518544	0.0643457475518544	0.474848484848485	0.0454545454545455	LD02-9050	Chr03	LD02-9050
#EE3B3B	0.0720564422854499	0.0720564422854499	0.466363636363636	0.0454545454545455	LG97-7012	Chr03	LG97-7012
#00E5EE	0.0797671370190454	0.0797671370190454	0.375151515151515	0.0454545454545455	Maverick	Chr03	Maverick
#20B2AA	0.0874778317526409	0.0874778317526409	0.367272727272727	0.0454545454545455	Skylla	Chr03	Skylla
#CD00CD	0.0951885264862364	0.0951885264862364	0.331515151515152	0.0454545454545455	LG94-1128	Chr03	LG94-1128
#00868B	0.102899221219832	0.102899221219832	0.328181818181818	0.0454545454545455	LG98-1605	Chr03	LG98-1605
#668B8B	0.110609915953427	0.110609915953427	0.288181818181818	0.0454545454545455	LD01-5907	Chr03	LD01-5907
#00FF00	0.118320610687023	0.118320610687023	0.286060606060606	0.0454545454545455	NE3001	Chr03	NE3001
